:START_ID,:END_ID,:TYPE
32002D0865,31999D0157,CITES
32002D0865,31996Y1004(01),CITES
32002D0865,31994Y1223(02),CITES
32002D0865,32000Y0311(03),CITES
32002D0865,31999Y1009(01),CITES
32000D0335,61985CJ0259,CITES
32000D0335,31997R0950,CITES
32000D0335,61984CJ0248,CITES
32000D0335,31998Y0310(01),CITES
32000D0335,61979CJ0730,CITES
32000D0335,61987CJ0142,CITES
32000D0335,11997E087,CITES
32000D0335,61988CJ0303,CITES
32000D0335,61992CJ0278,CITES
32000D0335,61978CJ0177,CITES
32000D0335,31996Y0306(01),CITES
32000D0335,11997E089,CITES
32000D0335,31992R1078,CITES
32000D0335,61988CJ0035,CITES
32003D0515,62001TJ0195,CITES
32003D0515,61973CJ0173,CITES
32003D0515,31996D0369,CITES
32003D0515,61999TJ0346,CITES
32003D0515,31999R0659,CITES
32003D0515,31992D0329,CITES
32003D0515,32001D0168,CITES
32003D0515,91983E001817,CITES
32003D0515,61974CJ0074,CITES
32003D0515,61979CJ0730,CITES
32003D0515,61997CJ0295,CITES
32003D0515,61969CJ0048,CITES
32003D0515,61998CJ0379,CITES
32003D0515,61985CJ0223,CITES
32003D0515,91982E002381,CITES
32003D0515,31998Y0106(01),CITES
32003D0515,31998Y0310(01),CITES
32003D0515,91990E001735,CITES
32003D0515,61985CJ0265,CITES
32002D0884,32001L0090,CITES
32002D0884,31994L0060,CITES
32002D0884,31967L0548,CITES
32002D0884,61997CJ0319,CITES
32002D0884,32001D0599,CITES
32002D0884,31992R2913,CITES
32002D0884,31980L0068,CITES
32002D0884,31976L0464,CITES
32002D0884,11997E030,CITES
32002D0884,31976L0769,CITES
32002D0884,61997CJ0232,CITES
32002D0884,52002XC0808(01),CITES
32002D0884,32002D0059,CITES
32001D0684,31996M0708,CITES
32001D0684,31998M1287,CITES
32001D0684,31998M1163,CITES
32001D0684,31998M1041,CITES
32001D0684,31994M0269,CITES
32001D0684,52001XX0914(01),CITES
32001D0684,31995M0550,CITES
32003D0081,91990E001735,CITES
32003D0081,31998Y0106(01),CITES
32003D0081,31998Y1210(01),CITES
32003D0081,61985CJ0265,CITES
32003D0081,32001D0168,CITES
32003D0081,61997CJ0295,CITES
32003D0081,C2001/304/03,CITES
32003D0081,31999R0659,CITES
32003D0081,11997E087,CITES
32003D0081,61973CJ0120,CITES
32003D0553,32001R1639,CITES
32003D0553,32000R1543,CITES
32000Y0911(01),31998D0012(01),CITES
32000Y0911(01),51998IP0258,CITES
32000Y0911(01),31993D0731,CITES
32000Y0911(01),31999R2673,CITES
32000Y0911(01),31999R1073,CITES
32000Y0911(01),31995R1239,CITES
32000Y0911(01),61987CJ0374,CITES
32000Y0911(01),31994D0836,CITES
32000Y0911(01),51999IP0092,CITES
32000Y0911(01),61996CJ0113,CITES
32000Y0911(01),61996TJ0124,CITES
32000Y0911(01),31996D0388,CITES
32000Y0911(01),31998D0325(01),CITES
32000Y0911(01),31983R0918,CITES
32000Y0911(01),61987CJ0292,CITES
32000Y0911(01),61997TJ0188,CITES
32000Y0911(01),31995F1127(01),CITES
32000Y0911(01),61995CJ0254,CITES
32000Y0911(01),31999Y1222(01),CITES
32000Y0911(01),61994TJ0276,CITES
32000Y0911(01),11997E081,CITES
32000Y0911(01),11997E274,CITES
32000Y0911(01),31988R4253,CITES
32000Y0911(01),61996CJ0375,CITES
32000Y0911(01),61986CJ0040,CITES
32000Y0911(01),31990D0094,CITES
32000Y0911(01),31999R0063,CITES
32000Y0911(01),11997E235,CITES
32000Y0911(01),61995TJ0077,CITES
32000Y0911(01),61994TJ0195,CITES
32000Y0911(01),11997E021,CITES
32000Y0911(01),31994R2100,CITES
32000Y0911(01),31993X0730,CITES
32000Y0911(01),61996CJ0083,CITES
32000Y0911(01),61994TO0325,CITES
32000Y0911(01),61993TJ0046,CITES
32000Y0911(01),11997E288,CITES
32000Y0911(01),31995D0403,CITES
32000Y0911(01),31979L0409,CITES
32000Y0911(01),31998R1001,CITES
32000Y0911(01),31990R0866,CITES
32000Y0911(01),11997E248,CITES
32000Y0911(01),31970R1251,CITES
32000Y0911(01),31962L0017,CITES
32000Y0911(01),11997E039,CITES
32000Y0911(01),31996R1279,CITES
32000Y0911(01),31968R0259(01),CITES
32000Y0911(01),11992M/PRO/SEBC,CITES
32000Y0911(01),31989L0048,CITES
32000Y0911(01),31992R3887,CITES
32000Y0911(01),61995TJ0174,CITES
32000Y0911(01),31999F0130(03),CITES
32000Y0911(01),31993R2082,CITES
32000Y0911(01),31990R2008,CITES
32000Y0911(01),11997E217,CITES
32000Y0911(01),31988R2052,CITES
32000Y0911(01),31994R0343,CITES
32000Y0911(01),31991R2157,CITES
32000Y0911(01),31982D0072,CITES
32000Y0911(01),61986TJ0040,CITES
32000Y0911(01),31997Y0908(01),CITES
32000Y0911(01),11997E169,CITES
