id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/100166,http://eurovoc.europa.eu/100166,0421 parliament,04 POLITICS;0421 parliament,04 POLITICS,0421 parliament,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100167,http://eurovoc.europa.eu/100167,0426 parliamentary proceedings,0426 parliamentary proceedings;04 POLITICS,04 POLITICS,0426 parliamentary proceedings,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100168,http://eurovoc.europa.eu/100168,0431 politics and public safety,04 POLITICS;0431 politics and public safety,04 POLITICS,0431 politics and public safety,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100169,http://eurovoc.europa.eu/100169,0436 executive power and public service,0436 executive power and public service;04 POLITICS,04 POLITICS,0436 executive power and public service,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100170,http://eurovoc.europa.eu/100170,0806 international affairs,0806 international affairs;08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,0806 international affairs,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100171,http://eurovoc.europa.eu/100171,0811 cooperation policy,08 INTERNATIONAL RELATIONS;0811 cooperation policy,08 INTERNATIONAL RELATIONS,0811 cooperation policy,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100172,http://eurovoc.europa.eu/100172,0816 international security,0816 international security;08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,0816 international security,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100173,http://eurovoc.europa.eu/100173,0821 defence,0821 defence;08 INTERNATIONAL RELATIONS,08 INTERNATIONAL RELATIONS,0821 defence,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100174,http://eurovoc.europa.eu/100174,1006 EU institutions and European civil service,1006 EU institutions and European civil service;10 EUROPEAN UNION,10 EUROPEAN UNION,1006 EU institutions and European civil service,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100175,http://eurovoc.europa.eu/100175,1011 European Union law,1011 European Union law;10 EUROPEAN UNION,10 EUROPEAN UNION,1011 European Union law,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100176,http://eurovoc.europa.eu/100176,1016 European construction,10 EUROPEAN UNION;1016 European construction,10 EUROPEAN UNION,1016 European construction,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100177,http://eurovoc.europa.eu/100177,1021 EU finance,10 EUROPEAN UNION;1021 EU finance,10 EUROPEAN UNION,1021 EU finance,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100178,http://eurovoc.europa.eu/100178,1206 sources and branches of the law,1206 sources and branches of the law;12 LAW,12 LAW,1206 sources and branches of the law,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100179,http://eurovoc.europa.eu/100179,1211 civil law,12 LAW;1211 civil law,12 LAW,1211 civil law,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100180,http://eurovoc.europa.eu/100180,1216 criminal law,1216 criminal law;12 LAW,12 LAW,1216 criminal law,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100181,http://eurovoc.europa.eu/100181,1221 justice,1221 justice;12 LAW,12 LAW,1221 justice,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100182,http://eurovoc.europa.eu/100182,1226 organisation of the legal system,12 LAW;1226 organisation of the legal system,12 LAW,1226 organisation of the legal system,EurovocConcept;SubDomain
http://eurovoc.europa.eu/100183,http://eurovoc.europa.eu/100183,1231 international law,1231 international law;12 LAW,12 LAW,1231 international law,EurovocConcept;SubDomain
