celex,articolo_id,lamf_L1,lamf_L2,lamf_L3,lamf_L4,n_tokens_labeled,n_fragments,entropy,dominant_lamf
32020D1502,5,0.0,0.0,0.0,100.0,51,1,0.0,L4
32020D1502,6,4.022988505747127,55.172413793103445,0.0,40.804597701149426,174,4,0.5937707974601301,L2
32020D1502,7,15.675675675675675,46.486486486486484,0.0,37.83783783783784,185,4,0.7316636228259306,L2
32020D1502,8,0.0,0.0,0.0,100.0,114,1,0.0,L4
32020D1502,9,100.0,0.0,0.0,0.0,28,1,0.0,L1
32020R1298,1,100.0,0.0,0.0,0.0,431,3,0.0,L1
32020R1298,2,100.0,0.0,0.0,0.0,42,1,0.0,L1
32021R2126,1,0.0,100.0,0.0,0.0,18,1,0.0,L2
32021R2126,2,0.0,100.0,0.0,0.0,26,1,0.0,L2
32022R2560,1,100.0,0.0,0.0,0.0,76,3,0.0,L1
32022R2560,10,0.0,22.78481012658228,0.0,77.21518987341773,316,10,0.3871205775996685,L4
32022R2560,11,27.941176470588236,6.985294117647059,6.617647058823529,58.455882352941174,272,9,0.7471134881564805,L4
32022R2560,12,0.0,45.57823129251701,0.0,54.42176870748299,147,5,0.49717554733038594,L4
32022R2560,13,1.0309278350515463,71.8213058419244,0.0,27.147766323024054,291,15,0.46083693868346864,L2
32022R2560,14,3.501945525291829,1.9455252918287937,0.0,94.55252918287938,514,16,0.1781655723091175,L4
32022R2560,15,0.0,0.0,0.0,100.0,82,1,0.0,L4
32022R2560,16,0.0,0.0,0.0,100.0,197,9,0.0,L4
32022R2560,17,0.0,3.4285714285714284,2.6666666666666665,93.9047619047619,525,19,0.19573877528500622,L4
32022R2560,18,0.0,11.11111111111111,0.0,88.88888888888889,135,5,0.25162916594512785,L4
32022R2560,19,55.84415584415584,44.15584415584416,0.0,0.0,77,1,0.4950613140040949,L1
32022R2560,2,100.0,0.0,0.0,0.0,365,8,0.0,L1
32022R2560,20,52.43161094224924,47.56838905775076,0.0,0.0,658,22,0.4991466351099425,L1
32022R2560,21,37.634408602150536,49.82078853046595,0.0,12.544802867383513,279,8,0.703541847197533,L2
32022R2560,22,20.96530920060332,79.03469079939669,0.0,0.0,663,22,0.37040955582763235,L2
32022R2560,23,41.86046511627907,58.13953488372093,0.0,0.0,43,1,0.4903991809045198,L2
32022R2560,24,8.04953560371517,53.250773993808046,0.0,38.69969040247678,646,21,0.653373184373028,L2
