domain,n_acts,n_articles,n_segments,H_local_mean,H_local_median,H_local_max,mean_pct_L1,mean_pct_L2,mean_pct_L3,mean_pct_L4,H_reduction_pct
fdi_screening,19,162,841,0.3574,0.4661,0.8395,54.5503,39.5886,0.1983,5.6628,56.77
appalti_it,32,1846,1846,0.4252,0.5653,0.7427,56.4962,35.7266,1.5905,6.187,
