domain,hybridity_threshold,min_articles,min_block,min_improvement,n_candidates,n_accepted_pre_validation,H_before_paired,H_after_paired,relative_reduction,canonical_thresholds,stage
appalti_it,0.3,6,3,0.25,21,17,0.45127298065962196,0.29119654496587866,0.3547219588900734,False,deterministic_pre_validation
appalti_it,0.3,6,3,0.3,21,15,0.45127298065962196,0.30384909983105834,0.32668448399697086,False,deterministic_pre_validation
appalti_it,0.3,6,3,0.35,21,14,0.45127298065962196,0.3099634464378135,0.3131353754334184,False,deterministic_pre_validation
appalti_it,0.3,6,4,0.25,21,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,6,4,0.3,21,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,6,4,0.35,21,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.3,6,5,0.25,21,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,6,5,0.3,21,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,6,5,0.35,21,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.3,8,3,0.25,21,17,0.45127298065962196,0.29119654496587866,0.3547219588900734,False,deterministic_pre_validation
appalti_it,0.3,8,3,0.3,21,15,0.45127298065962196,0.30384909983105834,0.32668448399697086,False,deterministic_pre_validation
appalti_it,0.3,8,3,0.35,21,14,0.45127298065962196,0.3099634464378135,0.3131353754334184,False,deterministic_pre_validation
appalti_it,0.3,8,4,0.25,21,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,8,4,0.3,21,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,8,4,0.35,21,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.3,8,5,0.25,21,15,0.45127298065962196,0.32197892607732437,0.2865096296997652,False,deterministic_pre_validation
appalti_it,0.3,8,5,0.3,21,14,0.45127298065962196,0.3280858853556262,0.27297689111352114,False,deterministic_pre_validation
appalti_it,0.3,8,5,0.35,21,12,0.45127298065962196,0.3413904966022095,0.24349448951452435,False,deterministic_pre_validation
appalti_it,0.3,10,3,0.25,20,17,0.45127298065962196,0.29119654496587866,0.3547219588900734,False,deterministic_pre_validation
