source,target,type
http://eurovoc.europa.eu/100152,http://eurovoc.europa.eu/100227,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100254,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100246,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100151,http://eurovoc.europa.eu/100224,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100257,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100168,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100153,http://eurovoc.europa.eu/100233,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100259,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100161,http://eurovoc.europa.eu/100281,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100147,http://eurovoc.europa.eu/100194,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100158,http://eurovoc.europa.eu/100260,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100169,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100189,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100154,http://eurovoc.europa.eu/100238,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100156,http://eurovoc.europa.eu/100245,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100142,http://eurovoc.europa.eu/100165,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100162,http://eurovoc.europa.eu/100285,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100198,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100157,http://eurovoc.europa.eu/100256,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100184,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100183,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100219,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100146,http://eurovoc.europa.eu/100188,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100145,http://eurovoc.europa.eu/100182,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100150,http://eurovoc.europa.eu/100221,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100144,http://eurovoc.europa.eu/100175,PARENT_CONCEPT_OF
http://eurovoc.europa.eu/100148,http://eurovoc.europa.eu/100200,PARENT_CONCEPT_OF
