:ID,celex_id,celex_clean,work_title,year_final,legal_type_normalized,era,decade,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],url,sector,sector_label,resource_legal_type,legal_type_class,n_eurovoc_concepts
32017R0873,32017R0873,32017R0873,,2017.0,Regulation,Late 2010s,2010.0,"60 AGRI-FOODSTUFFS;6036 food technology;organic chemical;market approval;food additive;animal nutrition;56 AGRICULTURE, FORESTRY AND FISHERIES;6811 chemistry;5631 agricultural activity;animal feedingstuffs;20 TRADE;2031 marketing;chemical compound;marketing;68 INDUSTRY","60 AGRI-FOODSTUFFS;20 TRADE;56 AGRICULTURE, FORESTRY AND FISHERIES;68 INDUSTRY",6811 chemistry;5631 agricultural activity;6036 food technology;2031 marketing,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0873,3,LegalAct,,Regulation,15
32017R0892R(03),32017R0892R(03),32017R0892R03,,2017.0,Regulation,Late 2010s,2010.0,"agricultural production policy;2011 tariff policy;vegetable;operational programme;10 EUROPEAN UNION;EU law;EU regional policy;6006 plant product;aid to agriculture;16 ECONOMICS;1011 European Union law;6026 foodstuff;1616 regions and regional policy;producer organisation;trading operation;import;60 AGRI-FOODSTUFFS;5616 farming systems;import (EU);fruit;grouping of farms;processed foodstuff;regional policy;56 AGRICULTURE, FORESTRY AND FISHERIES;5611 agricultural structures and production;farming system;customs regulations;application of EU law;20 TRADE;2016 trade;agricultural policy;5606 agricultural policy","60 AGRI-FOODSTUFFS;16 ECONOMICS;20 TRADE;56 AGRICULTURE, FORESTRY AND FISHERIES;10 EUROPEAN UNION",5611 agricultural structures and production;6006 plant product;2011 tariff policy;5616 farming systems;2016 trade;1011 European Union law;5606 agricultural policy;6026 foodstuff;1616 regions and regional policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0892R(03),3,LegalAct,,Regulation,32
32017R0910,32017R0910,32017R0910,,2017.0,Regulation,Late 2010s,2010.0,"designation of origin;consumer;product designation;United Kingdom;labelling;South West (England);product quality;7206 Europe;regions of the United Kingdom;7231 economic geography;Council of Europe countries;marketing;7236 political geography;fish;preparation for market;NATO countries;countries of the Pacific Community;56 AGRICULTURE, FORESTRY AND FISHERIES;OECD countries;consumer protection;Western Europe;England;2026 consumption;sea fish;20 TRADE;2031 marketing;5641 fisheries;WEU countries;72 GEOGRAPHY;fishery resources","20 TRADE;72 GEOGRAPHY;56 AGRICULTURE, FORESTRY AND FISHERIES",7206 Europe;2026 consumption;7231 economic geography;2031 marketing;5641 fisheries;7236 political geography,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0910,3,LegalAct,,Regulation,30
32017R0911,32017R0911,32017R0911,,2017.0,Regulation,Late 2010s,2010.0,"import;60 AGRI-FOODSTUFFS;import (EU);6016 processed agricultural produce;representative price;protein products;prices;meat;56 AGRICULTURE, FORESTRY AND FISHERIES;2451 prices;poultrymeat;common organisation of markets;egg;6011 animal product;animal product;common agricultural policy;20 TRADE;24 FINANCE;2016 trade;5606 agricultural policy;trading operation","60 AGRI-FOODSTUFFS;20 TRADE;24 FINANCE;56 AGRICULTURE, FORESTRY AND FISHERIES",6011 animal product;6016 processed agricultural produce;2016 trade;5606 agricultural policy;2451 prices,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0911,3,LegalAct,,Regulation,21
32017R0920,32017R0920,32017R0920,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0920,3,LegalAct,,Regulation,0
32017R0940R(01),32017R0940R(01),32017R0940R01,,2017.0,Regulation,Late 2010s,2010.0,"60 AGRI-FOODSTUFFS;6036 food technology;organic chemical;market approval;food additive;animal nutrition;56 AGRICULTURE, FORESTRY AND FISHERIES;6811 chemistry;5631 agricultural activity;animal feedingstuffs;organic acid;20 TRADE;2031 marketing;chemical compound;marketing;68 INDUSTRY","60 AGRI-FOODSTUFFS;20 TRADE;56 AGRICULTURE, FORESTRY AND FISHERIES;68 INDUSTRY",6811 chemistry;5631 agricultural activity;6036 food technology;2031 marketing,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0940R(01),3,LegalAct,,Regulation,16
32017R0970,32017R0970,32017R0970,,2017.0,Regulation,Late 2010s,2010.0,,,,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0970,3,LegalAct,,Regulation,0
32017R0981,32017R0981,32017R0981,,2017.0,Regulation,Late 2010s,2010.0,"investment company;standard;financial transaction;financial instrument;3231 information and information processing;disclosure of information;financial market;implementation of the budget;financial legislation;management audit;management techniques;standardisation;64 PRODUCTION, TECHNOLOGY AND RESEARCH;technical standard;provision of services;commercial transaction;2421 free movement of capital;technical regulations;financial control;2416 financial institutions and credit;2441 budget;financial institution;information policy;6411 technology and technical regulations;4021 management;40 BUSINESS AND COMPETITION;20 TRADE;32 EDUCATION AND COMMUNICATIONS;2031 marketing;24 FINANCE;free movement of capital","64 PRODUCTION, TECHNOLOGY AND RESEARCH;40 BUSINESS AND COMPETITION;20 TRADE;32 EDUCATION AND COMMUNICATIONS;24 FINANCE",2416 financial institutions and credit;2441 budget;4021 management;2031 marketing;3231 information and information processing;6411 technology and technical regulations;2421 free movement of capital,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0981,3,LegalAct,,Regulation,31
32017R0982,32017R0982,32017R0982,,2017.0,Regulation,Late 2010s,2010.0,"specification of tariff heading;2011 tariff policy;customs tariff;6816 iron, steel and other metal industries;20 TRADE;metal furniture;tariff nomenclature;metallurgical industry;Combined Nomenclature;68 INDUSTRY",20 TRADE;68 INDUSTRY,"2011 tariff policy;6816 iron, steel and other metal industries",https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0982,3,LegalAct,,Regulation,10
32017R0997R(01),32017R0997R(01),32017R0997R01,,2017.0,Regulation,Late 2010s,2010.0,waste management;52 ENVIRONMENT;waste;toxic substance;environmental protection;environmental impact;pollution control measures;6811 chemistry;environmental policy;chemical product;dangerous substance;hazardous waste;5216 deterioration of the environment;prevention of pollution;5206 environmental policy;nuisance;68 INDUSTRY;chemical industry,52 ENVIRONMENT;68 INDUSTRY,6811 chemistry;5216 deterioration of the environment;5206 environmental policy,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32017R0997R(01),3,LegalAct,,Regulation,18
