Id,Label,year,type,era,seed_concepts,indegree,outdegree,degree,modularity_class,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
61989CJ0288,61989CJ0288,1989,Case_Law,Pre-Maastricht,0,1,0,1,84,0,0,0,0
61992CJ0387,61992CJ0387,1992,Case_Law,Pre-Maastricht,0,4,0,4,84,0,0,0,0
61995CJ0242,61995CJ0242,1995,Case_Law,1990s,0,3,0,3,84,0,0,0,0
61995TJ0214,61995TJ0214,1995,Case_Law,1990s,0,9,0,9,84,0,0,0,0
61999CJ0157,61999CJ0157,1999,Case_Law,1990s,0,1,0,1,210,0,0,0,0
62000CJ0278,62000CJ0278,2000,Case_Law,Early 2000s,0,4,0,4,84,0,0,0,0
62000TJ0092,62000TJ0092,2000,Case_Law,Early 2000s,0,4,0,4,84,0,0,0,0
62000TJ0169,62000TJ0169,2000,Case_Law,Early 2000s,0,1,0,1,84,0,0,0,0
62001CJ0338,62001CJ0338,2001,Case_Law,Early 2000s,0,1,0,1,280,0,0,0,0
62004CJ0338,62004CJ0338,2004,Case_Law,Early 2000s,0,1,0,1,210,0,0,0,0
62004TJ0156,62004TJ0156,2004,Case_Law,Early 2000s,0,1,0,1,84,0,0,0,0
62006TJ0162,62006TJ0162,2006,Case_Law,Late 2000s,0,1,0,1,84,0,0,0,0
62008CJ0029,62008CJ0029,2008,Case_Law,Late 2000s,0,1,0,1,84,0,0,0,0
11957E100A,11957E100A,1957,Treaty,Pre-Treaty of Rome,0,7,0,7,324,0,0,0,0
11972B124,11972B124,1972,Treaty,Pre-Single European Act,0,1,0,1,36,0,0,0,0
11992E036,11992E036,1992,Treaty,Pre-Maastricht,0,1,0,1,324,0,0,0,0
11992E085,11992E085,1992,Treaty,Pre-Maastricht,0,3,0,3,266,0,0,0,0
11992E090,11992E090,1992,Treaty,Pre-Maastricht,0,5,0,5,84,0,0,0,0
11992E129B,11992E129B,1992,Treaty,Pre-Maastricht,0,1,0,1,266,0,0,0,0
11992E129D,11992E129D,1992,Treaty,Pre-Maastricht,0,1,0,1,50,0,0,0,0
11992E130D,11992E130D,1992,Treaty,Pre-Maastricht,0,1,0,1,266,0,0,0,0
11992E189C,11992E189C,1992,Treaty,Pre-Maastricht,0,5,0,5,329,0,0,0,0
11992MJ05,11992MJ05,1992,Treaty,Pre-Maastricht,0,1,0,1,330,0,0,0,0
11997E005,11997E005,1997,Treaty,1990s,0,6,0,6,329,0,0,0,0
12006E037,12006E037,2006,Treaty,Late 2000s,0,4,0,4,231,0,0,0,0
12006E251,12006E251,2006,Treaty,Late 2000s,0,29,0,29,329,0,0,0,0
31969R1191,31969R1191,1969,Regulation,Pre-Single European Act,0,4,0,4,84,0,0,0,0
31974L0562,31974L0562,1974,Directive,Pre-Single European Act,0,1,0,1,17,0,0,0,0
31978D0774,31978D0774,1978,Decision,Pre-Single European Act,0,2,0,2,50,0,0,0,0
31980Y0122(04),31980Y012204,1980,Legislative_Act,Pre-Single European Act,0,1,0,1,328,0,0,0,0
31982D0174,31982D0174,1982,Decision,Pre-Single European Act,0,1,0,1,280,0,0,0,0
