id:ID,url,name,eurovoc_concepts:STRING[],domains:STRING[],subdomains:STRING[],:LABEL
http://eurovoc.europa.eu/3607,http://eurovoc.europa.eu/3607,information technology profession,information technology profession;computer systems;32 EDUCATION AND COMMUNICATIONS;3236 information technology and data processing,32 EDUCATION AND COMMUNICATIONS,3236 information technology and data processing,EurovocConcept
http://eurovoc.europa.eu/3612,http://eurovoc.europa.eu/3612,banking profession,2416 financial institutions and credit;banking;24 FINANCE;banking profession,24 FINANCE,2416 financial institutions and credit,EurovocConcept
http://eurovoc.europa.eu/3613,http://eurovoc.europa.eu/3613,professional sport,sport;28 SOCIAL QUESTIONS;2826 social affairs;leisure;professional sport,28 SOCIAL QUESTIONS,2826 social affairs,EurovocConcept
http://eurovoc.europa.eu/3627,http://eurovoc.europa.eu/3627,technology park,industrial policy;6806 industrial structures and policy;technology park;68 INDUSTRY,68 INDUSTRY,6806 industrial structures and policy,EurovocConcept
http://eurovoc.europa.eu/3630,http://eurovoc.europa.eu/3630,public insurance,public insurance;2431 insurance;24 FINANCE;insurance,24 FINANCE,2431 insurance,EurovocConcept
http://eurovoc.europa.eu/3636,http://eurovoc.europa.eu/3636,new technology,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;technology;6411 technology and technical regulations;new technology","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept
http://eurovoc.europa.eu/3638,http://eurovoc.europa.eu/3638,clean technology,"clean technology;choice of technology;64 PRODUCTION, TECHNOLOGY AND RESEARCH;technology;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept
http://eurovoc.europa.eu/3639,http://eurovoc.europa.eu/3639,traditional technology,"choice of technology;traditional technology;64 PRODUCTION, TECHNOLOGY AND RESEARCH;technology;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept
http://eurovoc.europa.eu/3651,http://eurovoc.europa.eu/3651,recycling technology,"recycling technology;64 PRODUCTION, TECHNOLOGY AND RESEARCH;technology;6411 technology and technical regulations","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6411 technology and technical regulations,EurovocConcept
http://eurovoc.europa.eu/3652,http://eurovoc.europa.eu/3652,research budget,"research budget;64 PRODUCTION, TECHNOLOGY AND RESEARCH;research policy;6416 research and intellectual property","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3655,http://eurovoc.europa.eu/3655,research staff,"64 PRODUCTION, TECHNOLOGY AND RESEARCH;research policy;6416 research and intellectual property;research staff","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
http://eurovoc.europa.eu/3656,http://eurovoc.europa.eu/3656,EU research policy,"EU research policy;64 PRODUCTION, TECHNOLOGY AND RESEARCH;research policy;6416 research and intellectual property","64 PRODUCTION, TECHNOLOGY AND RESEARCH",6416 research and intellectual property,EurovocConcept
