celex,title,year,domains,subdomains,legal_type,url,global_cluster,macro_area,sub_community_name,macro_area_clean,sub_name_clean,is_seed,node_size,display_label,x,y,color,all_domains,primary_domain,is_multi,matches_theme
12016M004,12016M004,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016M004,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-67.26098642607246,15.094524649843677,#EA4335,['UNKNOWN'],UNKNOWN,False,True
21994A1223(16),21994A1223(16),1994,20 TRADE,Accordo generale sugli scambi di servizi,International Agreement,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:21994A1223(16),167,20 TRADE,Accordo generale sugli scambi di servizi,TRADE,ACCORDO GENERALE SUGLI SCAMBI DI SERVIZI,False,10,,65.07395636417817,19.033113296505,#9C27B0,['TRADE'],TRADE,False,True
32015D0444,32015D0444,2015,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32015D0444,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-65.88692564630945,15.094524649843677,#EA4335,['UNKNOWN'],UNKNOWN,False,True
12016E290,12016E290,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E290,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-64.54288835702052,15.380208643533802,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32009L0138,32009L0138,2009,FINANCE;LAW;EMPLOYMENT AND WORKING CONDITIONS;EUROPEAN UNION,EMPLOYMENT;INSURANCE;EUROPEAN UNION LAW;CIVIL LAW,Directive,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32009L0138,21,FINANCE,EMPLOYMENT,FINANCE,EMPLOYMENT,False,10,,-42.64496743695571,-59.22926591598762,#34A853,"['FINANCE', 'LAW', 'EMPLOYMENT AND WORKING CONDITIONS', 'EUROPEAN UNION']",FINANCE,True,True
12016E/TXT,12016E/TXT,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E/TXT,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-63.287621380007614,15.939089618446248,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32018R1725,32018R1725,2018,EDUCATION AND COMMUNICATIONS;LAW;EUROPEAN UNION,INFORMATION AND INFORMATION PROCESSING;COMMUNICATIONS;INFORMATION TECHNOLOGY AND DATA PROCESSING;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;RIGHTS AND FREEDOMS;CIVIL LAW,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32018R1725,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-62.17598011912325,16.746744366597483,#EA4335,"['EDUCATION AND COMMUNICATIONS', 'LAW', 'EUROPEAN UNION']",EDUCATION AND COMMUNICATIONS,True,True
42011A0708(01),42011A0708(01),2011,UNKNOWN,SETTORE TRASVERSALE,International Agreement,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:42011A0708(01),117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-61.25655419053931,17.767870457558367,#EA4335,['UNKNOWN'],UNKNOWN,False,True
12016E288,12016E288,2016,UNKNOWN,SETTORE TRASVERSALE,Treaty,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:12016E288,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-60.56952208670036,18.957844666502027,#EA4335,['UNKNOWN'],UNKNOWN,False,True
32021R2126,COMMISSION DELEGATED REGULATION (EU) …/... amending the Annex to Regulation (EU) 2019/452 of the European Parliament and of the Council establishing a framework for the screening of foreign direct investments into the Union,2021,POLITICS;INTERNATIONAL RELATIONS;FINANCE;LAW;GEOGRAPHY;EUROPEAN UNION,BUDGET;ECONOMIC GEOGRAPHY;FINANCING AND INVESTMENT;POLITICS AND PUBLIC SAFETY;CRIMINAL LAW;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;COOPERATION POLICY;FREE MOVEMENT OF CAPITAL,Regulation,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32021R2126,117,EUROPEAN UNION,SETTORE TRASVERSALE,EUROPEAN UNION,SETTORE TRASVERSALE,False,10,,-60.1449143008209,20.264654163510485,#EA4335,"['POLITICS', 'INTERNATIONAL RELATIONS', 'FINANCE', 'LAW', 'GEOGRAPHY', 'EUROPEAN UNION']",POLITICS,True,True
