Id,Label,Year,Type,Era,Seed_Concepts
32011R0454,32011R0454,2011.0,Regulation,Early 2010s,0
32011R1232,32011R1232,2011.0,Regulation,Early 2010s,0
32012D0077,32012D0077,2012.0,Decision,Early 2010s,0
32012R0519,32012R0519,2012.0,Regulation,Early 2010s,0
32012R0966,32012R0966,2012.0,Regulation,Early 2010s,0
32012R1247,32012R1247,2012.0,Regulation,Early 2010s,0
32013L0051,32013L0051,2013.0,Directive,Early 2010s,0
32013R0346,32013R0346,2013.0,Regulation,Early 2010s,0
32013R0347,32013R0347,2013.0,Regulation,Early 2010s,0
32013R0348,32013R0348,2013.0,Regulation,Early 2010s,0
32013R0391,32013R0391,2013.0,Regulation,Early 2010s,0
32013R1316,32013R1316,2013.0,Regulation,Early 2010s,0
32014D0915,32014D0915,2014.0,Decision,Early 2010s,0
32014H0193,32014H0193,2014.0,Legislative_Act,Early 2010s,0
32014H0729(17),32014H072917,2014.0,Legislative_Act,Early 2010s,0
32014L0024,32014L0024,2014.0,Directive,Early 2010s,0
32014L0059,32014L0059,2014.0,Directive,Early 2010s,0
32014R0037,32014R0037,2014.0,Regulation,Early 2010s,0
32014R0153,32014R0153,2014.0,Regulation,Early 2010s,0
32014R0240,32014R0240,2014.0,Regulation,Early 2010s,0
32014R0241,32014R0241,2014.0,Regulation,Early 2010s,0
32014R0516,32014R0516,2014.0,Regulation,Early 2010s,0
32014R0604,32014R0604,2014.0,Regulation,Early 2010s,0
32014R0717,32014R0717,2014.0,Regulation,Early 2010s,0
32014R1318,32014R1318,2014.0,Regulation,Early 2010s,0
32015D0007,32015D0007,2015.0,Decision,Late 2010s,0
32015D1470,32015D1470,2015.0,Decision,Late 2010s,0
32015D1916,32015D1916,2015.0,Decision,Late 2010s,0
32015L1535,32015L1535,2015.0,Directive,Late 2010s,0
32015R0227,32015R0227,2015.0,Regulation,Late 2010s,0
32015R0488,32015R0488,2015.0,Regulation,Late 2010s,0
32015R0962,32015R0962,2015.0,Regulation,Late 2010s,0
32015R1221,32015R1221,2015.0,Regulation,Late 2010s,0
32015R1905,32015R1905,2015.0,Regulation,Late 2010s,0
32015R2343,32015R2343,2015.0,Regulation,Late 2010s,0
32015R2441,32015R2441,2015.0,Regulation,Late 2010s,0
32015R2446,32015R2446,2015.0,Regulation,Late 2010s,0
32016D1195,32016D1195,2016.0,Decision,Late 2010s,0
32016Q0512(01),32016Q051201,2016.0,Legislative_Act,Late 2010s,0
32016R0631,32016R0631,2016.0,Regulation,Late 2010s,0
32017D0262,32017D0262,2017.0,Decision,Late 2010s,0
32017D0553,32017D0553,2017.0,Decision,Late 2010s,0
32017R0459,32017R0459,2017.0,Regulation,Late 2010s,0
32017R0735,32017R0735,2017.0,Regulation,Late 2010s,0
32017R0849,32017R0849,2017.0,Regulation,Late 2010s,0
32017R1001,32017R1001,2017.0,Regulation,Late 2010s,0
32017R1230,32017R1230,2017.0,Regulation,Late 2010s,0
32018D0024,32018D0024,2018.0,Decision,Late 2010s,0
32018D0090,32018D0090,2018.0,Decision,Late 2010s,0
32018R0519,32018R0519,2018.0,Regulation,Late 2010s,0
32018R1627,32018R1627,2018.0,Regulation,Late 2010s,0
32018R1916,32018R1916,2018.0,Regulation,Late 2010s,0
32019D0097,32019D0097,2019.0,Decision,Late 2010s,0
32019D0903,32019D0903,2019.0,Decision,Late 2010s,0
32019R0817,32019R0817,2019.0,Regulation,Late 2010s,0
32019R0818,32019R0818,2019.0,Regulation,Late 2010s,0
32019R0945,32019R0945,2019.0,Regulation,Late 2010s,0
