source,target,type
32008D0793,http://eurovoc.europa.eu/3544,HAS_CONCEPT
32008D0793,http://eurovoc.europa.eu/2455,HAS_CONCEPT
32009R0988,http://eurovoc.europa.eu/5283,HAS_CONCEPT
32009R0988,http://eurovoc.europa.eu/2605,HAS_CONCEPT
32009R0988,http://eurovoc.europa.eu/4028,HAS_CONCEPT
32009R0988,http://eurovoc.europa.eu/4050,HAS_CONCEPT
32009R0988,http://eurovoc.europa.eu/580,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/2775,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/2121,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/4687,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/2687,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/2173,HAS_CONCEPT
32023R1031,http://eurovoc.europa.eu/3191,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/2825,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/2063,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/5754,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/4408,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/6400,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/2522,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/7937,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/4438,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/5887,HAS_CONCEPT
32025R0870,http://eurovoc.europa.eu/3468,HAS_CONCEPT
32018R0012,http://eurovoc.europa.eu/3870,HAS_CONCEPT
32018R0012,http://eurovoc.europa.eu/2337,HAS_CONCEPT
32018R0012,http://eurovoc.europa.eu/236,HAS_CONCEPT
32018R0012,http://eurovoc.europa.eu/2338,HAS_CONCEPT
32018R0012,http://eurovoc.europa.eu/3483,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/2744,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/3730,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/192,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/2739,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/4036,HAS_CONCEPT
32019R0831,http://eurovoc.europa.eu/1425,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/133,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/3466,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/3468,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/1159,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/5585,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/2112,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/5463,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/2825,HAS_CONCEPT
32011D0189,http://eurovoc.europa.eu/542,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/2527,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/5672,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/6400,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/3164,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/2470,HAS_CONCEPT
32010L0075R(02),http://eurovoc.europa.eu/2611,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/4509,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/3160,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/4047,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/6345,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/2868,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/2349,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/4511,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/5324,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/6099,HAS_CONCEPT
32018L0645R(03),http://eurovoc.europa.eu/2325,HAS_CONCEPT
32015R1061,http://eurovoc.europa.eu/1224,HAS_CONCEPT
32015R1061,http://eurovoc.europa.eu/5451,HAS_CONCEPT
32015R1061,http://eurovoc.europa.eu/4733,HAS_CONCEPT
32015R1061,http://eurovoc.europa.eu/6052,HAS_CONCEPT
31985S3699,http://eurovoc.europa.eu/2456,HAS_CONCEPT
