celex,title,year,domains,subdomains,legal_type,url
32011D0036,32011D0036,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0036
32011D0073,32011D0073,2011.0,"SOCIAL QUESTIONS;TRADE;AGRICULTURE, FORESTRY AND FISHERIES",AGRICULTURAL ACTIVITY;MARKETING;HEALTH,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0073
32011D0089,32011D0089,2011.0,"ECONOMICS;INTERNATIONAL RELATIONS;GEOGRAPHY;AGRICULTURE, FORESTRY AND FISHERIES",AGRICULTURAL ACTIVITY;ECONOMIC POLICY;ECONOMIC GEOGRAPHY;COOPERATION POLICY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0089
32011D0106,32011D0106,2011.0,POLITICS;ECONOMICS;INTERNATIONAL RELATIONS;LAW;GEOGRAPHY;EUROPEAN UNION,ECONOMIC POLICY;AFRICA;ECONOMIC GEOGRAPHY;POLITICS AND PUBLIC SAFETY;POLITICAL FRAMEWORK;COOPERATION POLICY;EUROPEAN CONSTRUCTION;RIGHTS AND FREEDOMS,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0106
32011D0111,32011D0111,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0111
32011D0144,32011D0144,2011.0,INTERNATIONAL RELATIONS;GEOGRAPHY;EUROPEAN UNION,INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0144
32011D0177,32011D0177,2011.0,SOCIAL QUESTIONS;POLITICS;BUSINESS AND COMPETITION;EDUCATION AND COMMUNICATIONS;INTERNATIONAL RELATIONS;EUROPEAN UNION,MIGRATION;MANAGEMENT;EXECUTIVE POWER AND PUBLIC SERVICE;INFORMATION AND INFORMATION PROCESSING;COOPERATION POLICY;EUROPEAN CONSTRUCTION;EU FINANCE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0177
32011D0257,32011D0257,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0257
32011D0262,32011D0262,2011.0,"SOCIAL QUESTIONS;ENVIRONMENT;BUSINESS AND COMPETITION;TRADE;AGRICULTURE, FORESTRY AND FISHERIES",COMPETITION;DETERIORATION OF THE ENVIRONMENT;MEANS OF AGRICULTURAL PRODUCTION;TRADE POLICY;HEALTH;AGRICULTURAL POLICY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0262
32011D0275,32011D0275,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0275
32011D0282,32011D0282,2011.0,BUSINESS AND COMPETITION;ECONOMICS;GEOGRAPHY,ECONOMIC POLICY;BUSINESS ORGANISATION;COMPETITION;EUROPE;ACCOUNTING;ECONOMIC GEOGRAPHY;BUSINESS CLASSIFICATION;POLITICAL GEOGRAPHY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0282
32011D0299R(03),32011D0299R(03),2011.0,TRADE;INTERNATIONAL RELATIONS;LAW;GEOGRAPHY,INTERNATIONAL SECURITY;INTERNATIONAL TRADE;ASIA AND OCEANIA;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;POLITICAL GEOGRAPHY;CIVIL LAW,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0299R(03)
32011D0304,32011D0304,2011.0,BUSINESS AND COMPETITION;TRADE;TRANSPORT;GEOGRAPHY;INDUSTRY,MECHANICAL ENGINEERING;INTERNATIONAL TRADE;ASIA AND OCEANIA;COMPETITION;ECONOMIC GEOGRAPHY;LAND TRANSPORT;TRADE;TRADE POLICY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0304
32011D0349,32011D0349,2011.0,INTERNATIONAL RELATIONS;LAW;GEOGRAPHY;EUROPEAN UNION,EUROPE;INTERNATIONAL AFFAIRS;ECONOMIC GEOGRAPHY;INTERNATIONAL LAW;POLITICAL GEOGRAPHY;COOPERATION POLICY;EUROPEAN CONSTRUCTION,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0349
32011D0365,32011D0365,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0365
32011D0409(01),32011D0409(01),2011.0,POLITICS;LAW;EUROPEAN UNION,POLITICAL PARTY;EU FINANCE;CIVIL LAW,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0409(01)
32011D0467,32011D0467,2011.0,SOCIAL QUESTIONS;TRADE;EDUCATION AND COMMUNICATIONS;LAW;GEOGRAPHY;EUROPEAN UNION,EUROPE;ECONOMIC GEOGRAPHY;INTERNATIONAL LAW;EDUCATION;DISTRIBUTIVE TRADES;HEALTH;EU INSTITUTIONS AND EUROPEAN CIVIL SERVICE;POLITICAL GEOGRAPHY;ORGANISATION OF THE LEGAL SYSTEM,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0467
32011D0468,32011D0468,2011.0,ECONOMICS;EMPLOYMENT AND WORKING CONDITIONS;GEOGRAPHY,ECONOMIC POLICY;LABOUR MARKET;EMPLOYMENT;EUROPE;ECONOMIC GEOGRAPHY;ECONOMIC CONDITIONS;POLITICAL GEOGRAPHY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0468
32011D0476,32011D0476,2011.0,"SOCIAL QUESTIONS;PRODUCTION, TECHNOLOGY AND RESEARCH;TRADE",SOCIAL AFFAIRS;CONSUMPTION;TECHNOLOGY AND TECHNICAL REGULATIONS,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0476
32011D0484,32011D0484,2011.0,UNKNOWN,SETTORE TRASVERSALE,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0484
32011D0503,32011D0503,2011.0,ECONOMICS;EMPLOYMENT AND WORKING CONDITIONS;GEOGRAPHY,LABOUR MARKET;EMPLOYMENT;EUROPE;ECONOMIC GEOGRAPHY;ECONOMIC CONDITIONS;POLITICAL GEOGRAPHY,Decision,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=celex:32011D0503
